,cip_code,total_graduates,knowledge_rate,career_outcomes_perc,total_perc_employed_overall,total_perc_employed_full_time,total_perc_employed_part_time,perc_standard_employment_overall,perc_standard_full_time,perc_standard_part_time,perc_entrepreneur_overall,perc_entrepreneur_full_time,perc_entrepreneur_part_time,perc_temp_contract_overall,perc_temp_contract_full_time,perc_temp_contract_part_time,perc_freelance_overall,perc_freelance_full_time,perc_freelance_part_time,perc_fellowship_intern_overall,perc_fellowship_intern_full_time,perc_fellowship_intern_part_time,perc_service,perc_military,perc_continuing_ed,perc_seeking_employment,perc_seeking_continuing_ed,perc_not_seeking,mean_starting_salary,year,perc_still_seeking_overall
0,0101,1618,74.8,86.9,75.9,72.9,3.0,68.8,66.8,2.1,3.6,3.5,0.1,1.6,1.0,0.6,0.7,0.6,0.1,1.2,1.1,0.2,0.1,0.2,9.9,11.1,1.9,0.9,45862,2016,
1,0109,1758,67.6,85.2,54.9,5.8,4.0,47.8,44.8,3.0,2.5,2.4,0.1,1.8,1.5,0.3,0.3,0.3,0.0,2.5,1.9,0.7,0.0,0.1,29.2,1.0,4.6,1.2,3674,2016,
2,0301,3646,62.7,73.4,56.2,46.7,9.5,47.1,39.7,7.3,0.7,0.6,0.1,4.3,2.9,1.4,0.2,0.0,0.1,4.0,3.5,0.6,2.6,0.9,12.1,19.3,6.8,2.1,3699,2016,
3,0402,1929,64.7,82.8,57.1,54.5,2.6,5.2,48.4,1.8,1.0,1.0,0.0,0.7,0.6,0.1,0.2,0.1,0.1,5.0,4.4,0.6,0.5,0.3,24.0,15.8,1.3,1.0,42818,2016,
4,0501,1649,68.8,83.0,58.7,52.5,6.3,49.6,45.1,4.5,0.3,0.2,0.1,3.7,2.8,0.9,0.8,0.4,0.4,4.3,4.0,0.4,2.9,1.9,17.3,1.6,6.0,2.6,464,2016,
5,0904,4571,65.7,78.8,69.6,59.9,9.7,6.9,54.2,6.7,0.9,0.7,0.2,2.2,1.2,1.0,1.8,1.0,0.8,3.8,2.8,1.0,0.4,0.0,7.8,19.0,1.9,1.2,35939,2016,
6,0907,1199,67.2,8.9,74.4,64.0,1.4,64.4,56.0,8.4,2.1,1.9,0.2,3.0,2.0,1.0,2.7,2.1,0.6,2.2,2.1,0.1,0.4,0.4,3.6,18.2,0.4,2.6,4484,2016,
7,0909,5421,71.4,8.9,73.3,65.6,7.7,64.7,59.5,5.2,1.1,0.8,0.3,2.8,1.9,1.0,1.2,0.7,0.5,3.5,2.7,0.7,0.7,0.3,5.9,16.8,2.2,0.7,38162,2016,
8,1107,9142,69.8,86.8,76.8,74.0,2.8,72.4,7.5,2.0,1.7,1.3,0.4,1.3,1.2,0.2,0.2,0.1,0.1,1.1,1.0,0.2,0.1,0.4,8.2,11.5,1.5,1.5,78199,2016,
9,1110,1764,67.2,8.9,75.1,72.5,2.6,7.5,68.2,2.4,1.0,0.9,0.1,1.4,1.4,0.0,0.2,0.1,0.1,2.0,1.9,0.1,0.1,0.3,4.2,17.6,1.3,1.5,62157,2016,
10,1313,3422,62.6,81.5,69.4,61.2,8.2,65.4,58.6,6.8,0.3,0.3,0.0,2.8,1.7,1.0,0.4,0.0,0.4,0.5,0.5,0.0,0.5,0.6,1.0,16.1,2.2,1.1,39193,2016,
11,1402,1629,78.5,8.3,54.1,52.3,1.8,53.3,51.6,1.7,0.3,0.3,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.2,0.2,0.0,0.2,7.2,18.2,18.7,0.8,0.9,687,2016,
12,1405,2155,79.4,86.8,48.2,46.2,2.0,44.4,43.1,1.3,0.9,0.6,0.2,1.3,1.0,0.3,0.1,0.0,0.1,1.6,1.5,0.2,0.4,0.6,36.6,1.3,2.7,1.2,58348,2016,
13,1410,6113,74.1,86.6,64.6,62.7,1.8,61.2,6.0,1.2,1.0,0.8,0.2,1.0,0.8,0.2,0.2,0.1,0.0,1.3,1.1,0.2,0.2,0.6,2.2,11.4,1.9,1.1,795,2016,
14,1419,1431,77.2,84.5,67.8,66.1,1.8,64.7,63.4,1.3,0.9,0.7,0.2,0.9,0.8,0.1,0.1,0.1,0.0,1.2,1.0,0.1,0.1,1.3,14.2,14.2,1.1,1.2,64241,2016,
15,1425,782,86.6,65.2,46.2,46.1,0.1,45.9,45.8,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,18.0,29.0,5.5,1.0,78541,2016,
16,1445,926,75.7,8.6,47.5,44.1,3.4,42.4,39.5,2.9,1.4,1.4,0.0,2.3,2.0,0.3,0.0,0.0,0.0,1.4,1.1,0.3,0.3,0.3,31.2,13.7,5.4,1.6,55166,2016,
17,1515,598,78.4,89.3,81.4,79.1,2.3,76.5,74.4,2.1,1.7,1.7,0.0,2.1,1.9,0.2,0.0,0.0,0.0,1.1,1.1,0.0,0.0,0.4,5.3,8.5,1.9,2.3,6531,2016,
18,1508,897,68.8,84.8,79.1,76.5,2.6,76.2,74.4,1.8,1.0,0.8,0.2,0.0,0.8,0.5,0.2,0.0,0.2,0.5,0.5,0.0,0.0,1.6,2.6,14.4,0.5,1.8,61141,2016,
19,1609,2515,66.2,8.5,53.4,44.6,8.8,45.7,39.4,6.3,0.6,0.6,0.0,3.2,1.9,1.3,0.4,0.2,0.2,3.5,2.5,1.0,4.5,0.5,2.4,11.7,7.3,2.2,38995,2016,
20,1601,1437,65.4,75.1,51.4,41.1,1.3,42.6,35.3,7.2,0.5,0.4,0.1,4.8,2.3,2.4,0.2,0.2,0.0,3.3,2.8,0.5,1.7,0.5,19.1,15.1,9.0,3.1,35737,2016,
21,2301,775,63.4,8.1,58.4,48.5,9.9,5.3,42.5,7.8,1.1,0.9,0.2,2.9,2.0,0.9,0.9,0.4,0.5,3.1,2.6,0.5,1.8,0.2,18.1,14.6,5.0,1.9,3631,2016,
22,2313,1675,75.8,61.0,47.7,38.9,8.7,41.7,35.1,6.5,0.6,0.5,0.2,1.7,1.1,0.6,1.5,0.6,0.9,2.1,1.6,0.6,1.4,0.1,1.3,3.0,8.0,2.4,3445,2016,
23,2314,751,69.0,61.3,45.6,39.2,6.4,39.2,34.4,4.8,0.2,0.2,0.0,2.3,1.4,1.0,1.5,1.2,0.4,2.3,2.1,0.2,0.8,0.4,12.5,2.5,17.0,3.3,41559,2016,
24,2601,16761,64.8,76.6,4.2,34.8,5.5,35.7,31.2,4.5,0.4,0.3,0.1,2.2,1.6,0.6,0.1,0.1,0.0,1.8,1.6,0.2,1.3,0.4,33.4,1.4,12.7,1.6,34171,2016,
25,2602,3991,61.5,76.7,38.1,32.5,5.5,32.0,27.9,4.1,0.6,0.4,0.1,2.8,2.0,0.9,0.2,0.1,0.1,2.5,2.1,0.4,1.1,0.6,35.5,1.2,12.7,1.8,37889,2016,
26,2605,1115,64.3,7.5,42.8,38.4,4.5,37.8,35.1,2.6,0.1,0.1,0.0,3.1,1.7,1.4,0.1,0.1,0.0,1.7,1.3,0.4,0.8,0.0,25.5,14.9,14.1,1.8,29762,2016,
27,2609,1962,65.4,71.8,34.2,28.4,5.8,3.0,25.8,4.2,0.3,0.2,0.1,2.5,1.2,1.2,0.2,0.2,0.1,1.2,1.0,0.2,0.5,0.8,34.3,1.4,17.1,2.8,347,2016,
28,2613,734,67.4,75.7,53.5,43.6,9.9,42.4,33.9,8.5,1.4,1.4,0.0,5.9,4.8,1.0,0.0,0.0,0.0,3.8,3.4,0.4,2.2,0.4,17.6,12.9,1.7,2.6,38896,2016,
29,2701,5556,65.7,84.6,53.5,49.6,3.8,49.3,46.4,2.9,0.7,0.6,0.2,1.7,1.4,0.4,0.1,0.1,0.1,1.6,1.2,0.4,0.8,1.0,28.1,11.7,3.5,1.5,59759,2016,
30,2703,1134,67.7,73.6,48.2,47.7,0.5,46.1,45.7,0.4,0.1,0.1,0.0,1.0,0.9,0.1,0.1,0.1,0.0,0.8,0.8,0.0,0.3,1.2,23.2,21.4,4.7,1.2,58237,2016,
31,2705,643,74.2,81.6,55.1,5.9,4.2,48.4,45.5,2.9,1.0,0.4,0.6,2.3,1.9,0.4,0.0,0.0,0.0,3.4,3.1,0.2,0.6,1.0,24.3,13.8,4.4,0.6,6648,2016,
32,3017,533,76.7,94.1,41.8,32.8,9.0,39.4,3.8,8.6,0.5,0.5,0.0,1.0,0.7,0.2,0.0,0.0,0.0,1.0,0.7,0.2,0.5,0.0,51.1,3.4,2.4,0.7,3769,2016,
33,3020,2791,67.4,81.0,61.4,55.4,6.0,51.0,47.6,3.4,0.6,0.6,0.1,5.4,3.8,1.6,0.5,0.5,0.1,3.9,3.0,1.0,2.7,1.5,14.1,12.6,6.1,1.6,48,2016,
34,3105,9957,61.9,77.6,47.8,4.7,7.2,44.0,37.8,6.1,0.7,0.6,0.1,1.6,0.8,0.8,0.2,0.2,0.0,1.5,1.3,0.2,0.6,0.6,27.3,11.6,1.5,1.7,33629,2016,
35,4005,3932,71.2,81.6,4.2,36.1,4.1,36.0,32.7,3.2,0.4,0.4,0.0,2.0,1.5,0.5,0.2,0.1,0.0,1.7,1.4,0.3,0.8,0.7,38.7,11.0,7.2,1.4,43622,2016,
36,4010,581,69.9,85.9,56.4,53.2,3.2,51.5,49.5,2.0,1.5,0.7,0.7,1.7,1.5,0.2,0.0,0.0,0.0,1.7,1.5,0.2,0.5,1.2,27.1,12.6,1.5,0.7,63943,2016,
37,4201,2542,61.0,76.5,48.6,4.7,7.9,44.0,37.5,6.5,0.6,0.5,0.1,2.2,1.4,0.8,0.3,0.2,0.1,1.5,1.2,0.3,1.3,0.6,24.6,12.9,1.2,1.8,3631,2016,
38,4405,1426,68.7,89.3,71.9,67.0,4.9,66.3,62.0,4.3,0.2,0.2,0.0,1.1,0.9,0.2,0.3,0.2,0.1,4.0,3.7,0.3,0.9,0.9,15.0,7.1,3.5,0.6,45299,2016,
39,4504,2294,71.3,55.9,37.8,32.5,5.3,35.7,3.9,4.8,0.1,0.1,0.0,1.2,1.0,0.2,0.1,0.0,0.1,0.7,0.6,0.2,0.4,3.6,13.1,32.5,1.8,1.8,38878,2016,
40,4506,11955,69.0,84.4,68.9,65.8,3.1,63.4,61.2,2.2,1.2,1.0,0.1,2.0,1.6,0.4,0.3,0.2,0.0,2.0,1.7,0.3,0.7,0.7,13.1,11.9,3.4,1.3,55812,2016,
41,4510,1498,67.2,79.8,54.3,49.4,4.9,47.0,43.5,3.5,0.8,0.7,0.1,2.7,2.1,0.6,0.3,0.1,0.2,3.4,2.9,0.5,2.0,1.6,2.8,12.7,7.2,1.5,43187,2016,
42,5010,3423,63.4,83.5,56.3,42.2,14.1,46.2,36.2,9.9,1.5,0.9,0.6,3.3,2.0,1.2,4.2,2.2,2.0,1.2,0.9,0.3,0.7,0.4,24.6,11.5,4.7,1.8,36724,2016,
43,5109,1753,61.9,88.8,59.3,52.3,7.0,56.2,49.6,6.6,0.5,0.4,0.1,1.3,1.1,0.2,0.0,0.0,0.0,1.3,1.2,0.1,0.5,1.0,27.3,6.4,4.8,0.8,53343,2016,
44,5122,5162,64.4,82.3,55.7,47.6,8.1,5.3,43.8,6.4,0.2,0.1,0.1,1.9,1.1,0.8,0.2,0.1,0.1,3.2,2.5,0.6,1.4,0.4,23.6,9.0,8.5,1.4,39153,2016,
45,5123,959,81.6,85.1,5.7,44.2,6.5,48.0,41.9,6.1,1.1,0.9,0.3,0.5,0.4,0.1,0.0,0.0,0.0,1.0,1.0,0.0,0.9,0.5,32.2,7.8,7.0,0.9,45145,2016,
46,5131,983,75.6,91.4,42.0,34.2,7.8,29.7,24.9,4.8,0.7,0.4,0.3,1.1,0.7,0.4,0.0,0.0,0.0,1.5,8.2,2.3,0.7,0.0,47.5,5.4,3.1,1.3,38967,2016,
47,5202,18476,73.0,82.4,72.0,68.3,3.6,67.4,64.5,2.9,1.6,1.5,0.1,1.5,1.1,0.4,0.2,0.1,0.1,1.1,1.0,0.2,0.3,0.7,7.2,15.5,1.6,2.6,5962,2016,
48,5203,1276,73.8,87.9,63.3,6.1,3.1,59.0,56.7,2.3,0.6,0.6,0.1,0.9,0.7,0.2,0.1,0.1,0.0,2.6,2.1,0.5,0.1,0.3,23.2,8.9,3.0,1.2,53539,2016,
49,5208,12697,73.9,83.4,72.9,7.6,2.3,68.1,66.5,1.5,1.3,1.2,0.1,1.6,1.3,0.3,0.2,0.2,0.0,1.7,1.4,0.3,0.2,0.4,8.7,14.2,2.1,1.5,55974,2016,
50,5210,2286,75.3,86.2,79.2,72.2,7.0,7.2,65.8,4.4,1.6,1.0,0.5,2.8,1.9,0.9,0.3,0.3,0.0,4.2,3.1,1.1,0.2,0.9,5.0,11.2,2.5,0.9,47571,2016,
51,5211,1561,77.4,87.4,74.8,7.7,4.1,68.8,65.3,3.5,1.8,1.7,0.1,2.4,2.0,0.4,0.2,0.1,0.1,1.7,1.6,0.1,1.6,1.0,9.1,11.2,1.3,1.0,5468,2016,
52,5214,1919,71.4,83.8,76.8,72.9,3.8,71.7,68.6,3.1,1.3,1.2,0.1,1.6,1.3,0.3,0.3,0.3,0.0,1.7,1.5,0.3,0.2,0.3,5.3,14.5,1.5,1.5,44858,2016,
53,5212,2745,73.4,83.7,76.5,74.7,1.8,73.2,71.9,1.2,1.1,1.1,0.0,1.3,1.0,0.3,0.2,0.1,0.1,0.6,0.5,0.1,0.2,0.4,5.4,15.0,1.1,1.3,59622,2016,
54,5213,778,68.2,83.7,73.4,69.8,3.6,69.1,66.2,3.0,1.5,1.3,0.1,1.3,1.0,0.3,0.2,0.2,0.0,1.3,1.2,0.1,0.3,0.9,8.1,14.4,1.7,1.2,5349,2016,
55,0101,1448,73.3,88.6,75.0,72.7,2.4,66.3,64.8,1.5,3.8,3.7,0.1,1.1,0.8,0.3,1.1,0.8,0.3,2.7,2.5,0.2,0.4,0.3,12.3,11.0,0.3,0.7,46539,2017,
56,0109,1697,69.4,82.2,5.2,43.7,6.5,42.0,37.0,5.0,2.0,2.0,0.0,3.2,2.0,1.2,0.8,0.7,0.1,2.2,2.0,0.3,0.4,0.6,29.6,13.6,3.9,1.7,3444,2017,
57,0111,637,74.4,9.6,7.3,64.8,5.5,52.3,48.7,3.6,5.5,5.3,0.2,5.7,4.6,1.1,0.6,0.6,0.0,6.1,5.5,0.6,1.5,0.8,16.5,8.0,1.3,1.7,38371,2017,
58,0501,1343,61.5,81.2,57.9,51.2,6.7,46.2,41.2,5.1,1.0,1.0,0.0,3.8,2.7,1.1,0.8,0.5,0.4,6.1,5.9,0.1,2.2,1.7,17.6,13.4,5.0,2.3,43955,2017,
59,0901,14111,62.8,84.9,74.3,64.3,1.0,65.3,58.7,6.6,1.1,0.8,0.3,2.7,1.7,1.0,1.9,0.6,1.2,3.3,2.5,0.8,0.8,0.3,8.3,13.0,1.9,1.4,39623,2017,
60,0907,1336,68.8,87.1,83.4,72.7,1.9,67.4,6.4,7.0,2.4,2.3,0.1,3.2,2.3,0.9,4.8,2.4,2.4,5.9,5.3,0.5,0.5,0.3,2.6,9.8,3.0,0.3,37949,2017,
61,0909,5851,73.8,85.9,77.6,7.6,7.0,67.4,63.0,4.3,1.8,1.7,0.1,3.0,1.8,1.2,0.9,0.7,0.3,4.5,3.4,1.0,0.5,0.3,6.6,12.8,1.2,1.0,38824,2017,
62,1101,3391,69.7,86.5,77.5,73.9,3.6,73.0,7.6,2.5,1.0,0.8,0.1,1.9,1.4,0.5,0.4,0.2,0.2,1.2,0.8,0.3,0.3,0.9,6.3,11.3,1.9,1.9,59674,2017,
63,1107,8648,68.6,87.1,76.4,74.3,2.2,72.2,7.8,1.4,1.0,1.0,0.0,1.5,1.2,0.3,0.5,0.2,0.4,1.3,1.1,0.2,0.1,0.4,9.0,1.8,1.9,1.4,7883,2017,
64,1110,729,71.5,85.2,73.1,69.3,3.8,66.6,63.3,3.3,1.7,1.7,0.0,2.9,2.3,0.6,0.2,0.2,0.0,1.7,1.7,0.0,0.0,0.8,8.8,11.7,2.7,2.9,663,2017,
65,1310,1763,67.0,85.0,71.1,66.2,4.9,66.8,62.9,3.9,0.4,0.3,0.1,2.9,1.9,0.9,0.4,0.4,0.0,0.6,0.6,0.0,0.7,0.1,12.3,13.3,1.6,0.9,3792,2017,
66,1312,7642,68.8,87.4,77.5,69.8,7.7,72.0,66.4,5.6,0.6,0.6,0.0,3.5,2.1,1.4,0.7,0.1,0.6,0.7,0.6,0.1,0.6,0.1,8.2,11.4,1.0,1.2,36576,2017,
67,1313,3193,72.9,86.3,75.9,67.5,8.5,69.1,63.0,6.1,0.7,0.5,0.2,3.8,2.4,1.3,0.9,0.3,0.6,1.4,1.2,0.2,0.6,0.4,8.7,12.1,1.5,0.9,38275,2017,
68,1405,1952,79.0,87.4,51.5,49.9,1.6,45.0,44.1,0.8,0.4,0.4,0.0,3.0,2.7,0.4,0.3,0.1,0.1,2.9,2.6,0.3,0.6,0.2,34.1,1.2,2.2,1.2,58436,2017,
69,1408,3754,74.2,91.4,71.3,7.1,1.2,68.5,67.6,0.9,0.6,0.5,0.1,1.0,0.9,0.1,0.1,0.1,0.0,1.0,0.9,0.1,0.2,1.1,18.2,7.8,0.8,0.6,57495,2017,
70,1410,5689,72.1,87.8,64.1,62.4,1.8,6.4,59.1,1.3,1.1,1.0,0.1,1.2,0.9,0.3,0.2,0.2,0.0,1.3,1.2,0.1,0.0,0.9,22.1,1.5,1.7,0.8,7293,2017,
71,1419,9576,74.4,86.5,69.0,67.3,1.7,65.7,64.6,1.2,0.7,0.7,0.1,1.1,0.8,0.2,0.1,0.1,0.0,1.4,1.2,0.2,0.2,1.9,14.4,12.3,1.1,1.1,637,2017,
72,1435,1958,72.3,9.4,75.7,74.1,1.6,72.5,71.6,0.9,0.6,0.6,0.1,1.1,0.9,0.2,0.3,0.3,0.0,1.1,0.8,0.4,0.1,1.8,11.8,8.2,1.3,1.1,6494,2017,
73,1515,557,75.2,89.4,79.5,78.5,1.0,76.8,76.1,0.7,0.7,0.7,0.0,1.2,1.0,0.2,0.2,0.2,0.0,0.5,0.5,0.0,0.5,1.2,7.4,9.8,0.7,1.0,61441,2017,
74,1508,897,68.8,84.8,79.1,76.5,2.6,76.2,74.4,1.8,1.0,0.8,0.2,1.3,0.8,0.5,0.2,0.0,0.2,0.5,0.5,0.0,0.0,1.6,2.6,14.4,0.5,1.8,61141,2017,
75,1601,1446,62.2,72.7,45.7,38.3,7.5,37.6,32.1,5.5,1.1,0.9,0.2,3.3,2.0,1.3,0.9,0.6,0.3,2.8,2.7,0.1,2.3,0.7,21.4,13.3,13.0,3.6,37386,2017,
76,1609,2515,66.2,8.5,53.4,44.6,8.8,45.7,39.4,6.3,0.6,0.6,0.0,3.2,1.9,1.3,0.4,0.2,0.2,3.5,2.5,1.0,4.5,0.5,2.4,11.7,7.3,2.2,38995,2017,
77,1901,543,63.0,8.0,62.9,56.1,6.7,59.1,53.2,5.8,1.8,1.5,0.3,1.5,0.9,0.6,0.3,0.3,0.0,0.3,0.3,0.0,0.3,0.9,13.2,12.0,7.3,3.5,37918,2017,
78,2301,775,63.4,8.1,58.4,48.5,9.9,5.3,42.5,7.8,1.1,0.9,0.2,2.9,2.0,0.9,0.9,0.4,0.5,3.1,2.6,0.5,1.8,0.2,18.1,14.6,5.0,1.9,3631,2017,
79,2601,16761,64.8,76.6,4.2,34.8,5.5,35.7,31.2,4.5,0.4,0.3,0.1,2.2,1.6,0.6,0.1,0.1,0.0,1.8,1.6,0.2,1.3,0.4,33.4,1.4,12.7,1.6,34171,2017,
